"filename", "language", "JavaScript", "Solidity", "TypeScript", "JavaScript React", "Markdown", "JSON", "Rust", "JSON with Comments", "CSS", "TypeScript React", "XML", "SCSS", "Yul", "comment", "blank", "total"
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/my-app/pages/componets/ActiveLink.jsx", "JavaScript React", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/my-app/pages/componets/beforePopState.jsx", "JavaScript React", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 22
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/my-app/pages/componets/login.jsx", "JavaScript React", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 19
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/my-app/pages/componets/test.jsx", "JavaScript React", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/my-app/pages/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 1, 9, 127
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/my-app/pages/recoil/recoil.jsx", "JavaScript React", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/my-app/pages/recoil/recoil.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 10, 39
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/my-app/pages/recoil/router.jsx", "JavaScript React", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 53
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/my-app/pages/recoil/sync.jsx", "JavaScript React", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/my-app/public/next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/my-app/public/thirteen.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/my-app/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/my-app/styles/Home.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 236, 0, 0, 0, 0, 5, 38, 279
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/my-app/styles/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 14, 108
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/my-app/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/sol/README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/sol/chainlink.sol", "Solidity", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/sol/contracts/Lock.sol", "Solidity", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 35
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/sol/hardhat.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/sol/package-lock.json", "JSON", 0, 0, 0, 0, 0, 15920, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15921
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/sol/package.json", "JSON", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/sol/scripts/deploy.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 32
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/sol/test/Lock.js", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27, 127
"/Users/user/init/1day10k/2022/202301/0109-0116/0110/zep.sol", "Solidity", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 63
"/Users/user/init/1day10k/2022/202301/0109-0116/0111/artifacts/AbiDecode.json", "JSON", 0, 0, 0, 0, 0, 11735, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11735
"/Users/user/init/1day10k/2022/202301/0109-0116/0111/artifacts/AbiDecode_metadata.json", "JSON", 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138
"/Users/user/init/1day10k/2022/202301/0109-0116/0111/artifacts/AbiEncode.json", "JSON", 0, 0, 0, 0, 0, 3940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3940
"/Users/user/init/1day10k/2022/202301/0109-0116/0111/artifacts/AbiEncode_metadata.json", "JSON", 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136
"/Users/user/init/1day10k/2022/202301/0109-0116/0111/artifacts/Array.json", "JSON", 0, 0, 0, 0, 0, 2338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2338
"/Users/user/init/1day10k/2022/202301/0109-0116/0111/artifacts/Array_metadata.json", "JSON", 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188
"/Users/user/init/1day10k/2022/202301/0109-0116/0111/artifacts/DutchAuction.json", "JSON", 0, 0, 0, 0, 0, 5229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5229
"/Users/user/init/1day10k/2022/202301/0109-0116/0111/artifacts/DutchAuction_metadata.json", "JSON", 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183
