Date : 2022-10-29 10:32:40
Directory : /Users/user/init/10k1day/202210/1021-1031/1028
Total : 132 files,  1602 codes, 1012 comments, 46 blanks, all 2660 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Solidity |        131 |      1,586 |      1,012 |         46 |      2,644 |
| Markdown |          1 |         16 |          0 |          0 |         16 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
| /Users/user/init/10k1day/202210/1021-1031/1028/2200/ContractWallet.sol                  | Solidity |         43 |          8 |         11 |         62 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2200/Data.sol                            | Solidity |         83 |         13 |         11 |        107 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2200/sol.sol                             | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/2300/sol.sol                             | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/800/BFactory.sol                         | Solidity |          6 |          0 |          4 |         10 |
| /Users/user/init/10k1day/202210/1021-1031/1028/800/sol.sol                              | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/900/IFlashLoanReceiver.sol               | Solidity |         12 |          0 |          7 |         19 |
| /Users/user/init/10k1day/202210/1021-1031/1028/900/sol.sol                              | Solidity |          0 |          0 |          1 |          1 |
| /Users/user/init/10k1day/202210/1021-1031/1028/行数.md                                    | Markdown |         16 |          0 |          0 |         16 |
| Total                                                                                   |          |      1,602 |      1,012 |         46 |      2,660 |
+-----------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
