"filename", "language", "Solidity", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/user/init/10k1day/202210/1021-1031/1026/1000/ReEntrancy.sol", "Solidity", 36, 0, 0, 0, 13, 49
"/Users/user/init/10k1day/202210/1021-1031/1026/1100/MultiSigWallet.sol", "Solidity", 23, 0, 0, 0, 9, 32
"/Users/user/init/10k1day/202210/1021-1031/1026/1100/TxOrigin.sol", "Solidity", 26, 0, 0, 0, 8, 34
"/Users/user/init/10k1day/202210/1021-1031/1026/1200/Keccak256.sol", "Solidity", 26, 0, 0, 0, 7, 33
"/Users/user/init/10k1day/202210/1021-1031/1026/1200/slot.sol", "Solidity", 18, 0, 0, 1, 7, 26
"/Users/user/init/10k1day/202210/1021-1031/1026/1300/MultiSigWallet.sol", "Solidity", 99, 0, 0, 0, 24, 123
"/Users/user/init/10k1day/202210/1021-1031/1026/1300/Struct.sol", "Solidity", 30, 0, 0, 0, 12, 42
"/Users/user/init/10k1day/202210/1021-1031/1026/1400/Array.sol", "Solidity", 35, 0, 0, 5, 17, 57
"/Users/user/init/10k1day/202210/1021-1031/1026/1400/Enum.sol", "Solidity", 23, 0, 0, 0, 8, 31
"/Users/user/init/10k1day/202210/1021-1031/1026/1400/Err.sol", "Solidity", 12, 0, 0, 0, 6, 18
"/Users/user/init/10k1day/202210/1021-1031/1026/1500/ICEther.sol", "Solidity", 26, 0, 0, 0, 10, 36
"/Users/user/init/10k1day/202210/1021-1031/1026/1500/IComptroller.sol", "Solidity", 11, 0, 0, 0, 1, 12
"/Users/user/init/10k1day/202210/1021-1031/1026/1500/ICurveFiCurve.sol", "Solidity", 30, 0, 0, 0, 3, 33
"/Users/user/init/10k1day/202210/1021-1031/1026/1500/ICurveFiZap.sol", "Solidity", 8, 0, 0, 0, 2, 10
"/Users/user/init/10k1day/202210/1021-1031/1026/1500/ILendingPoolAddressesProvider.sol", "Solidity", 19, 0, 0, 0, 2, 21
"/Users/user/init/10k1day/202210/1021-1031/1026/1600/DSS.sol", "Solidity", 62, 0, 0, 21, 18, 101
"/Users/user/init/10k1day/202210/1021-1031/1026/1600/IDepot.sol", "Solidity", 16, 0, 0, 0, 14, 30
"/Users/user/init/10k1day/202210/1021-1031/1026/1600/IMedianizer.sol", "Solidity", 13, 0, 0, 3, 2, 18
"/Users/user/init/10k1day/202210/1021-1031/1026/1600/ISynthetix.sol", "Solidity", 51, 0, 0, 0, 33, 84
"/Users/user/init/10k1day/202210/1021-1031/1026/1700/DydxFlashloanBase.sol", "Solidity", 102, 0, 0, 1, 11, 114
"/Users/user/init/10k1day/202210/1021-1031/1026/1700/ISoloMargin.sol", "Solidity", 136, 0, 0, 0, 10, 146
"/Users/user/init/10k1day/202210/1021-1031/1026/1800/BPool.sol", "Solidity", 18, 0, 0, 0, 1, 19
"/Users/user/init/10k1day/202210/1021-1031/1026/1800/ExchangeProxy.sol", "Solidity", 39, 0, 0, 0, 7, 46
"/Users/user/init/10k1day/202210/1021-1031/1026/1800/KyberNetworkProxy.sol", "Solidity", 10, 0, 0, 0, 4, 14
